Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,28223043;0,67140720;-408,81070000
-500,95455043;0,67140720;-408,67330000
-500,62687043;0,67140720;-408,33760000
-500,29919043;0,67140720;-406,81170000
-499,97151043;0,64943390;-406,12500000
-499,64383044;0,64943390;-405,16370000
-499,31615044;0,62746050;-404,61430000
-498,98847044;0,62746050;-404,53810000
-498,66079044;0,62746050;-402,61540000
-498,33311044;0,62746050;-402,20340000
-498,00543045;0,62746050;-401,65410000
-497,67775045;0,62746050;-401,71510000
-497,35007045;0,64943390;-401,65410000
-497,02239045;0,64943390;-400,95220000
-496,69471045;0,64943390;-400,34180000
-496,36703046;0,64943390;-399,99080000
-496,03935046;0,64943390;-399,16680000
-495,71167046;0,64943390;-397,79350000
-495,38399046;1,96050900;-397,22890000
-495,05631046;3,27219500;-397,93080000
-494,72863047;4,56129600;-396,67960000
-494,40095047;5,87298200;-396,75590000
-494,07327047;7,18405700;-396,54220000
-493,74559047;8,47376900;-395,50460000
-493,41791047;9,78484400;-394,95530000
-493,09023048;11,09592000;-395,79450000
-492,76255048;11,07456000;-395,09260000
-492,43487048;11,07456000;-393,93290000
-492,10719048;11,09592000;-393,23100000
-491,77951048;11,09592000;-392,34590000
-491,45183049;11,11789000;-391,03360000
-491,12415049;11,13987000;-390,27070000
-490,79647049;11,13987000;-390,20970000
-490,46879049;11,13987000;-389,17200000
-490,14111049;11,16184000;-387,85970000
-489,81343050;11,16184000;-386,34910000
-489,48575050;11,13987000;-385,09780000
-489,15807050;11,13987000;-383,44980000
-488,83039050;11,13987000;-382,90050000
-488,50271050;11,13987000;-382,21380000
-488,17503051;11,13987000;-381,31350000
-487,84735051;11,13987000;-380,35210000
-487,51967051;11,13987000;-379,52820000
-487,19199051;11,13987000;-377,80390000
-486,86431051;11,16184000;-376,27790000
-486,53663052;11,13987000;-374,98090000
-486,20895052;11,13987000;-373,59230000
-485,88127052;11,11789000;-372,28000000
-485,55359052;11,11789000;-370,98300000
-485,22591052;11,11789000;-368,41940000
-484,89823053;11,09592000;-366,98500000
-484,57055053;11,09592000;-365,12340000
-484,24287053;11,09592000;-363,12450000
-483,91519053;11,11789000;-362,01060000
-483,58751053;11,09592000;-360,98820000
-483,25983054;11,11789000;-359,05030000
-482,93215054;11,09592000;-356,99030000
-482,60447054;11,07456000;-355,32700000
-482,27679054;11,07456000;-353,95360000
-481,94911054;11,07456000;-352,58030000
-481,62143055;11,07456000;-351,32910000
-481,29375055;11,05258000;-349,95570000
-480,96607055;11,05258000;-348,58240000
-480,63839055;11,05258000;-346,09510000
-480,31071055;11,07456000;-343,95880000
-479,98303056;11,09592000;-342,02090000
-479,65535056;11,11789000;-341,19690000
-479,32767056;11,09592000;-339,47260000
-478,99999056;11,09592000;-338,37390000
-478,67231056;11,11789000;-337,61100000
-478,34463057;11,11789000;-335,47470000
-478,01695057;11,11789000;-333,41470000
-477,68927057;11,11789000;-332,78910000
-477,36159057;11,09592000;-330,65280000
-477,03391057;11,09592000;-328,86740000
-476,70623058;11,11789000;-327,20420000
-476,37855058;11,11789000;-325,28150000
-476,05087058;11,11789000;-322,73320000
-475,72319058;11,13987000;-320,24600000
-475,39551058;11,11789000;-318,04860000
-475,06783059;11,09592000;-316,04970000
-474,74015059;11,09592000;-313,77600000
-474,41247059;11,09592000;-311,42610000
-474,08479059;11,09592000;-307,36720000
-473,75711059;9,78484400;-305,07820000
-473,42943060;8,45179600;-301,08030000
-473,10175060;7,14011000;-298,66940000
-472,77407060;5,85100800;-296,06000000
-472,44639060;4,56129600;-293,16080000
-472,11871060;3,27219500;-288,06420000
-471,79103061;1,96050900;-286,12630000
-471,46335061;0,64943390;-283,99000000
-471,13567061;0,64943390;-281,24330000
-470,80799061;0,67140720;-277,30640000
-470,48031061;0,67140720;-274,97180000
-470,15263062;0,67140720;-271,93520000
-469,82495062;0,64943390;-268,34920000
-469,49727062;0,64943390;-266,21300000
-469,16959062;0,64943390;-263,17630000
-468,84191062;0,64943390;-260,35340000
-468,51423063;0,64943390;-257,53040000
-468,18655063;0,64943390;-254,49390000
-467,85887063;0,64943390;-251,59460000
-467,53119063;0,64943390;-249,18360000
-467,20351063;0,67140720;-246,91000000
-466,87583064;0,67140720;-243,59870000
-466,54815064;0,67140720;-240,02810000
-466,22047064;0,67140720;-237,18980000
-465,89279064;0,67140720;-234,30580000
-465,56511064;0,67140720;-231,05560000
-465,23743065;0,67140720;-228,30900000
-464,90975065;0,67140720;-224,78410000
-464,58207065;0,64943390;-220,86240000
-464,25439065;0,64943390;-218,51250000
-463,92671065;0,64943390;-215,06390000
-463,59903066;0,64943390;-212,24100000
-463,27135066;0,64943390;-209,55530000
-462,94367066;0,64943390;-206,04570000
-462,61599066;0,64943390;-203,69580000
-462,28831066;0,64943390;-199,49950000
-461,96063067;0,67140720;-196,60020000
-461,63295067;0,67140720;-193,36530000
-461,30527067;0,67140720;-189,70300000
-460,97759067;0,67140720;-186,05610000
-460,64991067;0,67140720;-182,33280000
-460,32223068;0,67140720;-178,60960000
-459,99455068;0,67140720;-174,06230000
-459,66687068;0,67140720;-171,02570000
-459,33919068;0,67140720;-167,71440000
-459,01151068;0,64943390;-163,99120000
-458,68383069;0,64943390;-159,58130000
-458,35615069;0,64943390;-155,99530000
-458,02847069;0,64943390;-151,72280000
-457,70079069;0,64943390;-147,03820000
-457,37311069;0,64943390;-143,66590000
-457,04543070;0,64943390;-140,35460000
-456,71775070;0,64943390;-138,02000000
-456,39007070;0,67140720;-134,84600000
-456,06239070;0,67140720;-131,12280000
-455,73471070;0,64943390;-126,57550000
-455,40703071;0,64943390;-121,81460000
-455,07935071;0,64943390;-118,36600000
-454,75167071;0,64943390;-115,20740000
-454,42399071;0,64943390;-111,07210000
-454,09631071;0,64943390;-107,48620000
-453,76863072;0,64943390;-103,82400000
-453,44095072;0,64943390;-99,96337000
-453,11327072;0,67140720;-96,24011000
-452,78559072;0,60548720;-92,59315000
-452,45791072;0,60548720;-90,04486000
-452,13023073;0,60548720;-86,10797000
-451,80255073;0,60548720;-76,12842000
-451,47487073;0,60548720;-72,67982000
-451,14719073;0,60548720;-69,85686000
-450,81951073;0,60548720;-65,99627000
-450,49183074;0,60548720;-62,68502000
-450,16415074;0,64943390;-58,68709000
-449,83647074;0,64943390;-56,06250000
-449,50879074;0,64943390;-52,47657000
-449,18111074;0,64943390;-49,18058000
-448,85343075;0,64943390;-46,00665000
-448,52575075;0,64943390;-41,93243000
-448,19807075;0,64943390;-40,07080000
-447,87039075;0,64943390;-36,83584000
-447,54271075;0,67140720;-34,01288000
-447,21503076;0,67140720;-30,28962000
-446,88735076;0,64943390;-26,29169000
-446,55967076;0,64943390;-22,01910000
-446,23199076;0,64943390;-17,68548000
-445,90431076;0,64943390;-14,51155000
-445,57663077;0,64943390;-10,43733000
-445,24895077;0,64943390;-6,92770100
-444,92127077;0,64943390;-3,55540600
-444,59359077;0,64943390;-0,03051851
-444,26591077;0,67140720;3,95214700
-443,93823078;0,67140720;7,32444200
-443,61055078;0,67140720;10,01007000
-443,28287078;0,67140720;14,08429000
-442,95519078;0,67140720;17,65496000
-442,62751078;0,67140720;21,24088000
-442,29983079;0,67140720;24,82681000
-441,97215079;0,69277020;28,68740000
-441,64447079;0,69277020;34,05865000
-441,31679079;0,67140720;36,13391000
-440,98911079;0,67140720;39,03317000
-440,66143080;0,67140720;42,95480000
-440,33375080;0,67140720;46,40339000
-440,00607080;0,67140720;49,85198000
-439,67839080;0,64943390;53,71257000
-439,35071080;0,62746050;57,57317000
-439,02303081;0,62746050;61,00650000
