Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,24479871;0,67140720;-396,77110000
-500,91711871;0,67140720;-396,29810000
-500,58943871;0,67140720;-395,53510000
-500,26175872;0,67140720;-394,71110000
-499,93407872;0,64943390;-394,77220000
-499,60639872;0,64943390;-394,43650000
-499,27871872;0,64943390;-393,81080000
-498,95103872;0,64943390;-392,16280000
-498,62335873;0,64943390;-391,61350000
-498,29567873;0,64943390;-390,98790000
-497,96799873;0,64943390;-390,91160000
-497,64031873;1,93853600;-390,63690000
-497,31263873;3,27219500;-390,57590000
-496,98495874;4,58327000;-388,50060000
-496,65727874;5,89434500;-388,36330000
-496,32959874;7,20603000;-388,16490000
-496,00191874;8,49513200;-385,66240000
-495,67423874;9,80681800;-384,76210000
-495,34655875;11,09592000;-383,80080000
-495,01887875;11,09592000;-383,58710000
-494,69119875;11,07456000;-382,82420000
-494,36351875;11,05258000;-380,76420000
-494,03583875;11,05258000;-380,27580000
-493,70815876;11,03061000;-380,55050000
-493,38047876;11,03061000;-379,58920000
-493,05279876;11,00864000;-378,90250000
-492,72511876;11,03061000;-377,45290000
-492,39743876;11,03061000;-376,35420000
-492,06975877;11,05258000;-375,86590000
-491,74207877;11,05258000;-375,11820000
-491,41439877;11,05258000;-373,53130000
-491,08671877;11,05258000;-372,35630000
-490,75903877;11,05258000;-371,94430000
-490,43135878;11,07456000;-370,55570000
-490,10367878;11,07456000;-369,45700000
-489,77599878;11,09592000;-368,14470000
-489,44831878;11,09592000;-366,63410000
-489,12063878;11,11789000;-366,84770000
-488,79295879;11,09592000;-365,59650000
-488,46527879;11,11789000;-364,00950000
-488,13759879;11,13987000;-363,04820000
-487,80991879;11,11789000;-360,98820000
-487,48223879;11,09592000;-359,59960000
-487,15455880;11,09592000;-356,57820000
-486,82687880;11,09592000;-355,05230000
-486,49919880;11,07456000;-353,67900000
-486,17151880;11,09592000;-351,74110000
-485,84383880;11,09592000;-350,50510000
-485,51615881;11,07456000;-349,26910000
-485,18847881;11,09592000;-347,95680000
-484,86079881;11,11789000;-346,85810000
-484,53311881;11,09592000;-346,01880000
-484,20543881;11,09592000;-344,64550000
-483,87775882;11,11789000;-341,60890000
-483,55007882;11,11789000;-339,27420000
-483,22239882;11,09592000;-337,82460000
-482,89471882;11,11789000;-337,19900000
-482,56703882;11,09592000;-335,13900000
-482,23935883;11,07456000;-332,78910000
-481,91167883;11,09592000;-331,33940000
-481,58399883;11,09592000;-329,55410000
-481,25631883;11,07456000;-328,24180000
-480,92863883;11,05258000;-328,24180000
-480,60095884;11,07456000;-326,51750000
-480,27327884;11,05258000;-325,34260000
-479,94559884;11,07456000;-323,96920000
-479,61791884;11,09592000;-321,97030000
-479,29023884;11,07456000;-319,77290000
-478,96255885;11,07456000;-317,77400000
-478,63487885;11,09592000;-315,34770000
-478,30719885;11,11789000;-312,93680000
-477,97951885;11,11789000;-311,77710000
-477,65183885;11,13987000;-309,77810000
-477,32415886;11,13987000;-308,11490000
-476,99647886;11,11789000;-305,91750000
-476,66879886;11,11789000;-304,11690000
-476,34111886;11,11789000;-301,50760000
-476,01343886;9,80681800;-300,33260000
-475,68575887;8,49513200;-297,70800000
-475,35807887;7,18405700;-294,39680000
-475,03039887;5,87298200;-291,84850000
-474,70271887;4,56129600;-289,02550000
-474,37503887;3,27219500;-286,26360000
-474,04735888;1,98248200;-283,02870000
-473,71967888;0,67140720;-280,96870000
-473,39199888;0,67140720;-278,48140000
-473,06431888;0,67140720;-275,30750000
-472,73663888;0,67140720;-271,72150000
-472,40895889;0,67140720;-268,62390000
-472,08127889;0,67140720;-264,90060000
-471,75359889;0,67140720;-261,80300000
-471,42591889;0,67140720;-258,90370000
-471,09823889;0,67140720;-255,94350000
-470,77055890;0,67140720;-252,90690000
-470,44287890;0,67140720;-249,94660000
-470,11519890;0,67140720;-246,43700000
-469,78751890;0,67140720;-243,46140000
-469,45983890;0,67140720;-240,71470000
-469,13215891;0,67140720;-238,22750000
-468,80447891;0,67140720;-235,19090000
-468,47679891;0,67140720;-232,16950000
-468,14911891;0,67140720;-228,44630000
-467,82143891;0,67140720;-225,27240000
-467,49375892;0,67140720;-222,09840000
-467,16607892;0,64943390;-218,45150000
-466,83839892;0,64943390;-215,82690000
-466,51071892;0,64943390;-212,59190000
-466,18303892;0,64943390;-211,00500000
-465,85535893;0,64943390;-207,77000000
-465,52767893;0,64943390;-204,79440000
-465,19999893;0,64943390;-201,49850000
-464,87231893;0,62746050;-198,52290000
-464,54463893;0,64943390;-194,66230000
-464,21695894;0,64943390;-191,91560000
-463,88927894;0,64943390;-188,05500000
-463,56159894;0,64943390;-183,84350000
-463,23391894;0,64943390;-180,74590000
-462,90623894;0,64943390;-179,02160000
-462,57855895;0,64943390;-175,78660000
-462,25087895;0,67140720;-172,75000000
-461,92319895;0,64943390;-169,65240000
-461,59551895;0,64943390;-166,47850000
-461,26783895;0,62746050;-163,93020000
-460,94015896;0,62746050;-160,28320000
-460,61247896;0,62746050;-156,62100000
-460,28479896;0,62746050;-153,52330000
-459,95711896;0,60548720;-148,28940000
-459,62943896;0,60548720;-144,70350000
-459,30175897;0,62746050;-140,98030000
-458,97407897;0,62746050;-136,63140000
-458,64639897;0,62746050;-133,53370000
-458,31871897;0,62746050;-130,08510000
-457,99103897;0,60548720;-126,77390000
-457,66335897;0,60548720;-123,05060000
-457,33567898;0,62746050;-119,19000000
-457,00799898;0,60548720;-115,81770000
-456,68031898;0,60548720;-112,03340000
-456,35263898;0,60548720;-107,76080000
-456,02495898;0,60548720;-104,37330000
-455,69727899;0,60548720;-100,03970000
-455,36959899;0,62746050;-96,31641000
-455,04191899;0,62746050;-92,86781000
-454,71423899;0,60548720;-89,63286000
-454,38655899;0,62746050;-86,59627000
-454,05887900;0,60548720;-83,42234000
-453,73119900;0,60548720;-80,32471000
-453,40351900;0,62746050;-77,28812000
-453,07583900;0,62746050;-73,56486000
-452,74815900;0,62746050;-69,70428000
-452,42047901;0,62746050;-65,78264000
-452,09279901;0,64943390;-62,47139000
-451,76511901;0,64943390;-59,43480000
-451,43743901;0,67140720;-56,33717000
-451,10975901;0,64943390;-53,17850000
-450,78207902;0,64943390;-49,51628000
-450,45439902;0,64943390;-45,86932000
-450,12671902;0,64943390;-41,93243000
-449,79903902;0,62746050;-38,34650000
-449,47135902;0,62746050;-34,91317000
-449,14367903;0,62746050;-32,07495000
-448,81599903;0,62746050;-28,29066000
-448,48831903;0,62746050;-24,15540000
-448,16063903;0,62746050;-19,74548000
-447,83295903;0,60548720;-16,92251000
-447,50527904;0,58412430;-13,33659000
-447,17759904;0,60548720;-9,12503300
-446,84991904;0,60548720;-5,47807200
-446,52223904;0,60548720;-2,10577700
-446,19455904;0,60548720;1,26651800
-445,86687905;0,62746050;4,69985000
-445,53919905;0,62746050;8,22473800
-445,21151905;0,64943390;12,08533000
-444,88383905;0,67140720;16,14429000
-444,55615905;0,64943390;20,49318000
-444,22847906;0,64943390;24,27747000
-443,90079906;0,64943390;28,41273000
-443,57311906;0,62746050;31,23569000
-443,24543906;0,60548720;35,09629000
-442,91775906;0,60548720;38,62117000
-442,59007907;0,60548720;42,13080000
-442,26239907;0,60548720;46,18976000
-441,93471907;0,60548720;49,63836000
-441,60703907;0,58412430;53,49894000
-441,27935907;0,56215100;57,29850000
-440,95167908;0,56215100;61,08279000
-440,62399908;0,58412430;64,39405000
-440,29631908;0,58412430;67,90368000
-439,96863908;0,58412430;71,48961000
-439,64095908;0,56215100;74,80086000
-439,31327909;0,58412430;78,44782000
-438,98559909;0,60548720;82,03374000
-438,65791909;0,62746050;85,89434000
