Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,30458217;0,67140720;149,51020000
-500,97690217;0,67140720;147,98420000
-500,64922217;0,67140720;146,33620000
-500,32154217;0,67140720;143,57430000
-499,99386218;0,67140720;141,65170000
-499,66618218;0,67140720;139,79000000
-499,33850218;0,67140720;138,41670000
-499,01082218;0,64943390;136,89080000
-498,68314218;0,64943390;134,83080000
-498,35546219;0,64943390;133,10650000
-498,02778219;0,64943390;132,41980000
-497,70010219;0,64943390;131,24480000
-497,37242219;0,64943390;128,69650000
-497,04474219;0,64943390;126,89600000
-496,71706220;0,64943390;124,69860000
-496,38938220;0,67140720;121,79940000
-496,06170220;0,67140720;120,07510000
-495,73402220;0,67140720;118,01510000
-495,40634220;0,67140720;115,80250000
-495,07866221;0,67140720;114,21550000
-494,75098221;0,67140720;112,29280000
-494,42330221;0,67140720;113,45260000
-494,09562221;0,67140720;112,01820000
-493,76794221;0,67140720;109,72930000
-493,44026222;0,67140720;108,02030000
-493,11258222;0,67140720;106,57060000
-492,78490222;0,67140720;104,90740000
-492,45722222;0,67140720;102,71000000
-492,12954222;0,67140720;101,04680000
-491,80186223;0,67140720;99,18515000
-491,47418223;0,67140720;98,36115000
-491,14650223;0,67140720;96,57582000
-490,81882223;0,64943390;94,50056000
-490,49114223;0,64943390;92,02856000
-490,16346224;0,64943390;88,85464000
-489,83578224;0,64943390;87,20663000
-489,50810224;0,64943390;85,40604000
-489,18042224;0,64943390;83,07137000
-488,85274224;0,64943390;80,85879000
-488,52506225;0,64943390;78,44782000
-488,19738225;0,67140720;74,86190000
-487,86970225;0,67140720;72,45094000
-487,54202225;0,67140720;71,27598000
-487,21434225;0,67140720;69,49065000
-486,88666226;0,67140720;66,59138000
-486,55898226;0,67140720;64,39405000
-486,23130226;0,67140720;62,31879000
-485,90362226;0,67140720;60,67079000
-485,57594226;0,67140720;58,59554000
-485,24826227;0,67140720;56,59657000
-484,92058227;0,67140720;57,14590000
-484,59290227;0,64943390;54,94857000
-484,26522227;0,64943390;53,42265000
-483,93754227;0,62746050;52,40028000
-483,60986228;0,64943390;51,57627000
-483,28218228;0,64943390;48,60072000
-482,95450228;0,62746050;46,18976000
-482,62682228;0,60548720;43,85509000
-482,29914228;0,60548720;42,13080000
-481,97146229;0,62746050;40,05554000
-481,64378229;0,62746050;37,99554000
-481,31610229;0,64943390;35,78295000
-480,98842229;0,62746050;33,99762000
-480,66074229;0,60548720;32,68532000
-480,33306230;0,62746050;30,41169000
-480,00538230;0,64943390;28,48903000
-479,67770230;0,64943390;26,41377000
-479,35002230;0,64943390;24,41481000
-479,02234230;0,64943390;22,55318000
-478,69466231;0,64943390;21,17984000
-478,36698231;0,64943390;19,04355000
-478,03930231;0,67140720;17,10562000
-477,71162231;0,67140720;15,32029000
-477,38394231;0,67140720;13,39762000
-477,05626232;0,67140720;10,83407000
-476,72858232;0,67140720;8,77407200
-476,40090232;0,67140720;7,40073800
-476,07322232;0,67140720;5,32548000
-475,74554232;0,64943390;3,46385000
-475,41786233;0,64943390;3,12814700
-475,09018233;0,62746050;1,67851800
-474,76250233;0,60548720;-0,03051851
-474,43482233;0,58412430;-1,83111000
-474,10714233;0,58412430;-4,16577600
-473,77946234;0,56215100;-6,37836800
-473,45178234;0,54017760;-11,39866000
-473,12410234;0,56215100;-12,98563000
-472,79642234;0,56215100;-14,16059000
-472,46874234;0,58412430;-15,80859000
-472,14106235;0,60548720;-18,29585000
-471,81338235;0,62746050;-19,94385000
-471,48570235;0,60548720;-21,88177000
-471,15802235;0,62746050;-24,01807000
-470,83034235;0,64943390;-26,07806000
-470,50266236;0,64943390;-28,42799000
-470,17498236;0,64943390;-31,32725000
-469,84730236;0,64943390;-32,42591000
-469,51962236;0,62746050;-33,93658000
-469,19194236;0,62746050;-35,05051000
-468,86426237;0,64943390;-37,46147000
-468,53658237;0,64943390;-39,18576000
-468,20890237;0,64943390;-41,10843000
-467,88122237;0,62746050;-43,45835000
-467,55354237;0,62746050;-45,38102000
-467,22586238;0,62746050;-45,79302000
-466,89818238;0,64943390;-46,34235000
-466,57050238;0,64943390;-49,16532000
-466,24282238;0,64943390;-50,96591000
-465,91514238;0,64943390;-52,06457000
-465,58746239;0,62746050;-54,06354000
-465,25978239;0,62746050;-56,27613000
-464,93210239;0,62746050;-56,82546000
-464,60442239;0,62746050;-59,16013000
-464,27674239;0,62746050;-60,96072000
-463,94906240;0,62746050;-65,15701000
-463,62138240;0,62746050;-66,54561000
-463,29370240;0,62746050;-69,56694000
-462,96602240;0,64943390;-71,15390000
-462,63834240;0,64943390;-73,50382000
-462,31066241;0,62746050;-76,18945000
-461,98298241;0,62746050;-77,83746000
-461,65530241;0,62746050;-79,63805000
-461,32762241;0,62746050;-82,04900000
-460,99994241;0,62746050;-84,53626000
-460,67226242;0,60548720;-85,97063000
-460,34458242;0,60548720;-87,35923000
-460,01690242;0,62746050;-88,53419000
-459,68922242;0,64943390;-90,80782000
-459,36154242;0,64943390;-92,31848000
-459,03386243;0,64943390;-94,04278000
-458,70618243;0,64943390;-95,82811000
-458,37850243;0,64943390;-97,41508000
-458,05082243;0,67140720;-98,45271000
-457,72314243;0,67140720;-100,58900000
-457,39546244;0,64943390;-102,58800000
-457,06778244;0,62746050;-104,23600000
-456,74010244;0,62746050;-105,89920000
-456,41242244;0,62746050;-107,89820000
-456,08474244;0,62746050;-109,34780000
-455,75706245;0,62746050;-111,13310000
-455,42938245;0,62746050;-113,07110000
-455,10170245;0,60548720;-114,44440000
-454,77402245;0,62746050;-115,81770000
-454,44634245;0,64943390;-117,81670000
-454,11866246;0,64943390;-120,16660000
-453,79098246;0,64943390;-122,44030000
-453,46330246;0,64943390;-124,98850000
-453,13562246;0,64943390;-127,12480000
-452,80794246;0,64943390;-128,77280000
-452,48026247;0,67140720;-130,43610000
-452,15258247;0,67140720;-132,70970000
-451,82490247;0,67140720;-134,84600000
-451,49722247;0,67140720;-136,76870000
-451,16954247;0,67140720;-138,56930000
-450,84186248;0,67140720;-139,88160000
-450,51418248;0,67140720;-141,25490000
-450,18650248;0,64943390;-142,62830000
-449,85882248;0,64943390;-143,94060000
-449,53114248;0,64943390;-144,84080000
-449,20346249;0,64943390;-145,52750000
-448,87578249;0,64943390;-147,38910000
-448,54810249;0,64943390;-148,48780000
-448,22042249;0,64943390;-149,66280000
-447,89274249;0,62746050;-150,62410000
-447,56506250;0,62746050;-152,21110000
-447,23738250;0,62746050;-153,44710000
-446,90970250;0,62746050;-154,56100000
-446,58202250;0,62746050;-155,72070000
-446,25434250;0,62746050;-157,24660000
-445,92666251;0,60548720;-159,71860000
-445,59898251;0,60548720;-161,10720000
-445,27130251;0,62746050;-162,61790000
-444,94362251;0,64943390;-164,83050000
-444,61594251;0,64943390;-166,06650000
-444,28826252;0,64943390;-167,16510000
-443,96058252;0,64943390;-169,78970000
-443,63290252;0,64943390;-170,96470000
-443,30522252;0,67140720;-172,20070000
-442,97754252;0,67140720;-173,51300000
-442,64986253;0,64943390;-174,53530000
-442,32218253;0,64943390;-174,53530000
-441,99450253;0,64943390;-175,84760000
-441,66682253;0,64943390;-176,96160000
-441,33914253;0,64943390;-177,29730000
-441,01146254;0,64943390;-178,67060000
-440,68378254;0,64943390;-180,12020000
-440,35610254;0,64943390;-180,60850000
-440,02842254;0,67140720;-180,88320000
-439,70074254;0,67140720;-181,98190000
-439,37306255;0,67140720;-183,29410000
-439,04538255;0,67140720;-184,74380000
-438,71770255;0,67140720;-185,56780000
-438,39002255;0,67140720;-186,66640000
-438,06234255;0,67140720;-188,39070000
