Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,34785514;0,64943390;-129,12380000
-501,02017514;0,64943390;-127,33850000
-500,69249514;0,64943390;-125,88880000
-500,36481515;0,64943390;-124,77490000
-500,03713515;0,64943390;-122,50130000
-499,70945515;0,64943390;-121,26530000
-499,38177515;0,64943390;-119,75460000
-499,05409515;0,62746050;-117,13000000
-498,72641516;0,62746050;-114,93270000
-498,39873516;0,62746050;-113,26940000
-498,07105516;0,60548720;-111,75880000
-497,74337516;0,58412430;-110,23290000
-497,41569516;0,60548720;-108,93580000
-497,08801517;0,60548720;-107,48620000
-496,76033517;0,58412430;-105,82290000
-496,43265517;0,60548720;-105,41090000
-496,10497517;0,60548720;-104,17490000
-495,77729517;0,60548720;-101,55030000
-495,44961518;0,62746050;-99,76501000
-495,12193518;0,64943390;-98,10175000
-494,79425518;0,64943390;-96,37745000
-494,46657518;0,64943390;-94,72945000
-494,13889518;0,67140720;-93,49345000
-493,81121519;0,67140720;-92,18115000
-493,48353519;0,67140720;-89,63286000
-493,15585519;0,67140720;-87,49656000
-492,82817519;0,67140720;-85,42130000
-492,50049519;0,67140720;-83,63597000
-492,17281520;0,67140720;-80,53835000
-491,84513520;0,67140720;-78,73775000
-491,51745520;0,67140720;-78,18842000
-491,18977520;0,67140720;-76,18945000
-490,86209520;0,67140720;-74,60249000
-490,53441521;0,67140720;-73,22916000
-490,20673521;0,67140720;-71,84057000
-489,87905521;0,67140720;-70,32990000
-489,55137521;0,67140720;-68,60561000
-489,22369521;0,67140720;-67,09494000
-488,89601522;0,67140720;-66,27094000
-488,56833522;0,67140720;-64,27197000
-488,24065522;0,67140720;-63,50901000
-487,91297522;0,64943390;-61,92205000
-487,58529522;0,64943390;-60,54872000
-487,25761523;0,64943390;-58,96176000
-486,92993523;0,62746050;-57,51213000
-486,60225523;0,62746050;-53,10220000
-486,27457523;0,62746050;-51,43894000
-485,94689523;0,62746050;-49,65361000
-485,61921524;0,62746050;-49,02798000
-485,29153524;0,64943390;-47,24265000
-484,96385524;0,64943390;-45,30473000
-484,63617524;0,64943390;-45,44206000
-484,30849524;0,67140720;-43,38206000
-483,98081525;0,67140720;-41,24576000
-483,65313525;0,67140720;-39,59776000
-483,32545525;0,67140720;-37,87347000
-482,99777525;0,67140720;-35,66088000
-482,67009525;0,67140720;-32,89895000
-482,34241526;0,67140720;-31,18991000
-482,01473526;0,67140720;-28,76369000
-481,68705526;0,67140720;-26,77999000
-481,35937526;0,67140720;-24,91836000
-481,03169526;0,67140720;-22,43110000
-480,70401527;0,64943390;-20,70681000
-480,37633527;0,64943390;-21,46977000
-480,04865527;0,64943390;-20,21851000
-479,72097527;0,64943390;-18,50947000
-479,39329527;0,64943390;-17,05985000
-479,06561528;0,64943390;-15,33555000
-478,73793528;0,64943390;-13,67229000
-478,41025528;0,64943390;-11,81066000
-478,08257528;0,67140720;-10,51363000
-477,75489528;0,67140720;-9,39970000
-477,42721529;0,67140720;-8,23999700
-477,09953529;0,67140720;-6,30207200
-476,77185529;0,67140720;-4,10473900
-476,44417529;0,67140720;-1,89214700
-476,11649529;0,67140720;-0,03051851
-475,78881530;0,67140720;1,87688800
-475,46113530;0,67140720;4,28785000
-475,13345530;0,67140720;5,95110900
-474,80577530;0,67140720;5,95110900
-474,47809530;0,67140720;7,67540500
-474,15041531;0,67140720;9,39970000
-473,82273531;0,67140720;11,45970000
-473,49505531;0,67140720;12,83303000
-473,16737531;0,67140720;15,04562000
-472,83969531;0,67140720;17,38029000
-472,51201532;0,67140720;18,90622000
-472,18433532;0,67140720;20,69155000
-471,85665532;0,64943390;22,27851000
-471,52897532;0,64943390;24,35377000
-471,20129532;0,62746050;24,82681000
-470,87361533;0,62746050;26,35273000
-470,54593533;0,62746050;29,17569000
-470,21825533;0,60548720;30,96103000
-469,89057533;0,60548720;32,76162000
-469,56289533;0,58412430;34,47065000
-469,23521534;0,60548720;37,09525000
-468,90753534;0,60548720;39,09421000
-468,57985534;0,62746050;40,87954000
-468,25217534;0,60548720;42,32917000
-467,92449534;0,60548720;43,58043000
-467,59681535;0,62746050;46,81539000
-467,26913535;0,62746050;49,08902000
-466,94145535;0,64943390;51,01168000
-466,61377535;0,64943390;52,46132000
-466,28609535;0,64943390;54,39924000
-465,95841536;0,64943390;56,12354000
-465,63073536;0,67140720;57,63420000
-465,30305536;0,67140720;59,14487000
-464,97537536;0,67140720;61,14383000
-464,64769536;0,67140720;62,86813000
-464,32001537;0,67140720;63,35643000
-463,99233537;0,67140720;65,00442000
-463,66465537;0,64943390;66,53034000
-463,33697537;0,64943390;67,35435000
-463,00929537;0,64943390;69,21598000
-462,68161538;0,62746050;71,07761000
-462,35393538;0,62746050;72,58826000
-462,02625538;0,62746050;74,23627000
-461,69857538;0,62746050;76,17419000
-461,37089538;0,62746050;78,09686000
-461,04321539;0,64943390;79,07346000
-460,71553539;0,64943390;81,48442000
-460,38785539;0,64943390;83,26974000
-460,06017539;0,67140720;84,36842000
-459,73249539;0,67140720;86,09271000
-459,40481540;0,67140720;89,89227000
-459,07713540;0,67140720;91,54026000
-458,74945540;0,67140720;93,06618000
-458,42177540;0,67140720;94,77522000
-458,09409540;0,64943390;95,95019000
-457,76641541;0,64943390;98,30012000
-457,43873541;0,64943390;99,94811000
-457,11105541;0,64943390;101,67240000
-456,78337541;0,64943390;103,25940000
-456,45569541;0,64943390;105,47200000
-456,12801542;0,64943390;106,76900000
-455,80033542;0,64943390;107,88290000
-455,47265542;0,67140720;109,60720000
-455,14497542;0,67140720;111,39250000
-454,81729542;0,67140720;112,90320000
-454,48961543;0,67140720;114,49020000
-454,16193543;0,67140720;115,60410000
-453,83425543;0,67140720;117,38940000
-453,50657543;0,67140720;118,28970000
-453,17889543;0,67140720;119,80040000
-452,85121544;0,67140720;121,31110000
-452,52353544;0,64943390;123,44740000
-452,19585544;0,62746050;125,11060000
-451,86817544;1,93853600;126,42290000
-451,54049544;3,25022100;126,48400000
-451,21281545;4,56129600;127,58260000
-450,88513545;5,85100800;129,65790000
-450,55745545;7,16208400;130,89390000
-450,22977545;8,45179600;132,34350000
-449,90209545;9,78484400;135,65480000
-449,57441546;11,11789000;137,24170000
-449,24673546;11,11789000;138,20310000
-448,91905546;11,09592000;140,27830000
-448,59137546;11,09592000;141,92630000
-448,26369546;11,11789000;143,65060000
-447,93601547;11,09592000;144,82560000
-447,60833547;11,11789000;146,25990000
-447,28065547;11,11789000;150,39520000
-446,95297547;11,09592000;152,60780000
-446,62529547;11,07456000;152,60780000
-446,29761548;11,09592000;153,92010000
-445,96993548;11,09592000;155,29340000
-445,64225548;11,09592000;157,23140000
-445,31457548;11,09592000;158,60470000
-444,98689548;11,09592000;160,05430000
-444,65921549;11,09592000;161,15300000
-444,33153549;11,11789000;162,38900000
-444,00385549;11,13987000;163,50290000
-443,67617549;11,13987000;165,08990000
-443,34849549;11,13987000;166,95150000
-443,02081550;11,11789000;167,77550000
-442,69313550;11,13987000;168,38590000
-442,36545550;11,13987000;170,59840000
-442,03777550;11,13987000;170,94940000
-441,71009550;11,11789000;171,91080000
-441,38241551;11,09592000;173,22310000
-441,05473551;11,09592000;174,73370000
-440,72705551;11,07456000;176,38170000
-440,39937551;11,09592000;177,55670000
-440,07169551;11,07456000;178,73160000
-439,74401552;11,07456000;178,65530000
-439,41633552;11,05258000;179,96770000
-439,08865552;11,07456000;181,06630000
-438,76097552;11,07456000;181,69190000
-438,43329552;11,07456000;182,37860000
-438,10561553;11,07456000;185,00320000
-437,77793553;11,07456000;186,37650000
-437,45025553;11,09592000;187,82620000
