Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,20051246;0,67140720;211,67640000
-500,87283246;0,67140720;210,57770000
-500,54515246;0,67140720;209,54010000
-500,21747247;0,67140720;208,02940000
-499,88979247;0,67140720;207,12910000
-499,56211247;0,67140720;205,67950000
-499,23443247;0,67140720;203,89410000
-498,90675247;0,67140720;202,50560000
-498,57907247;0,67140720;200,64390000
-498,25139248;0,67140720;198,91960000
-497,92371248;0,67140720;197,40900000
-497,59603248;0,64943390;196,09670000
-497,26835248;0,64943390;195,47100000
-496,94067248;0,64943390;193,96040000
-496,61299249;0,64943390;192,58700000
-496,28531249;0,64943390;190,92380000
-495,95763249;0,64943390;189,62670000
-495,62995249;0,64943390;188,37550000
-495,30227249;0,64943390;186,45280000
-494,97459250;0,64943390;184,65220000
-494,64691250;0,64943390;182,86690000
-494,31923250;0,64943390;180,51700000
-493,99155250;0,64943390;178,73160000
-493,66387250;0,62746050;176,10710000
-493,33619251;0,62746050;174,59640000
-493,00851251;0,62746050;172,24650000
-492,68083251;0,62746050;170,18650000
-492,35315251;0,64943390;168,81310000
-492,02547251;0,64943390;166,81420000
-491,69779252;0,64943390;165,15090000
-491,37011252;0,62746050;164,25060000
-491,04243252;0,64943390;162,46530000
-490,71475252;0,64943390;160,60370000
-490,38707252;0,64943390;159,15400000
-490,05939253;0,64943390;157,09400000
-489,73171253;0,64943390;155,09510000
-489,40403253;0,64943390;153,43180000
-489,07635253;0,64943390;151,43280000
-488,74867253;0,64943390;149,84590000
-488,42099254;0,64943390;147,16020000
-488,09331254;0,64943390;145,43590000
-487,76563254;0,62746050;143,37600000
-487,43795254;0,62746050;140,88870000
-487,11027254;0,62746050;138,47770000
-486,78259255;0,62746050;136,34140000
-486,45491255;0,62746050;133,03020000
-486,12723255;0,64943390;130,69550000
-485,79955255;0,64943390;125,30900000
-485,47187255;0,64943390;122,89800000
-485,14419256;0,67140720;120,21240000
-484,81651256;0,67140720;118,15240000
-484,48883256;0,67140720;115,93980000
-484,16115256;0,67140720;113,25420000
-483,83347256;0,67140720;111,04160000
-483,50579257;0,67140720;108,15760000
-483,17811257;0,67140720;105,88400000
-482,85043257;0,67140720;103,74770000
-482,52275257;0,67140720;100,90940000
-482,19507257;0,67140720;98,84945000
-481,86739258;0,67140720;96,43848000
-481,53971258;0,67140720;92,98989000
-481,21203258;0,67140720;90,79256000
-480,88435258;0,67140720;88,22900000
-480,55667258;0,67140720;86,03167000
-480,22899259;0,67140720;83,89538000
-479,90131259;0,64943390;80,79775000
-479,57363259;0,64943390;78,52412000
-479,24595259;0,64943390;76,31153000
-478,91827259;0,64943390;73,96160000
-478,59059260;0,64943390;71,68798000
-478,26291260;0,64943390;68,86501000
-477,93523260;0,64943390;66,53034000
-477,60755260;0,64943390;64,18042000
-477,27987260;0,67140720;61,28116000
-476,95219261;0,64943390;58,53450000
-476,62451261;0,64943390;56,12354000
-476,29683261;0,64943390;52,40028000
-475,96915261;0,62746050;49,98932000
-475,64147261;0,62746050;47,63939000
-475,31379262;0,62746050;45,03006000
-474,98611262;0,60548720;42,68013000
-474,65843262;0,60548720;40,05554000
-474,33075262;0,62746050;37,99554000
-474,00307262;0,62746050;35,58458000
-473,67539263;0,62746050;32,95999000
-473,34771263;0,64943390;31,03732000
-473,02003263;0,64943390;28,27540000
-472,69235263;0,64943390;25,72710000
-472,36467263;0,67140720;22,96518000
-472,03699264;0,67140720;19,94385000
-471,70931264;0,67140720;17,18192000
-471,38163264;0,67140720;14,08429000
-471,05395264;0,67140720;11,32237000
-470,72627264;0,67140720;8,91140500
-470,39859265;0,67140720;5,95110900
-470,07091265;0,67140720;2,97555400
-469,74323265;0,67140720;0,36622210
-469,41555265;0,67140720;-2,71614700
-469,08787265;0,64943390;-5,75273800
-468,76019266;0,62746050;-8,43836700
-468,43251266;0,62746050;-11,20029000
-468,10483266;0,62746050;-13,88592000
-467,77715266;0,62746050;-16,02221000
-467,44947266;0,62746050;-18,09747000
-467,12179267;0,62746050;-20,37111000
-466,79411267;0,62746050;-23,25510000
-466,46643267;0,64943390;-25,46769000
-466,13875267;0,67140720;-27,11569000
-465,81107267;0,67140720;-29,25199000
-465,48339268;0,67140720;-31,46458000
-465,15571268;0,67140720;-33,11258000
-464,82803268;0,67140720;-32,01391000
-464,50035268;0,67140720;-34,21125000
-464,17267268;0,67140720;-35,59984000
-463,84499269;0,67140720;-34,76058000
-463,51731269;0,67140720;-36,48487000
-463,18963269;0,67140720;-38,20917000
-462,86195269;0,67140720;-40,28443000
-462,53427269;0,67140720;-42,06976000
-462,20659270;0,67140720;-43,59569000
-461,87891270;0,67140720;-45,73198000
-461,55123270;0,64943390;-47,65465000
-461,22355270;0,64943390;-50,69124000
-460,89587270;0,64943390;-52,69020000
-460,56819271;0,64943390;-54,33820000
-460,24051271;0,64943390;-55,51316000
-459,91283271;0,64943390;-57,51213000
-459,58515271;0,64943390;-59,37376000
-459,25747271;0,64943390;-61,37272000
-458,92979272;0,67140720;-63,02072000
-458,60211272;0,67140720;-63,99731000
-458,27443272;0,67140720;-66,68294000
-457,94675272;0,67140720;-69,42960000
-457,61907272;0,67140720;-71,56590000
-457,29139273;0,67140720;-73,50382000
-456,96371273;0,67140720;-76,05212000
-456,63603273;0,67140720;-79,08871000
-456,30835273;0,67140720;-81,01138000
-455,98067273;0,67140720;-83,22397000
-455,65299274;0,67140720;-85,36027000
-455,32531274;0,67140720;-87,90856000
-454,99763274;0,67140720;-90,18219000
-454,66995274;0,67140720;-91,49448000
-454,34227274;0,67140720;-92,94411000
-454,01459275;0,62746050;-95,41611000
-453,68691275;0,62746050;-97,55241000
-453,35923275;0,62746050;-99,21567000
-453,03155275;0,62746050;-101,27570000
-452,70387275;0,62746050;-103,68660000
-452,37619276;0,62746050;-105,76190000
-452,04851276;0,62746050;-107,48620000
-451,72083276;0,62746050;-109,40890000
-451,39315276;0,67140720;-111,27050000
-451,06547276;0,67140720;-113,26940000
-450,73779277;0,67140720;-115,07000000
-450,41011277;0,64943390;-116,36710000
-450,08243277;0,64943390;-117,95400000
-449,75475277;0,64943390;-119,67830000
-449,42707277;0,64943390;-121,54000000
-449,09939278;0,64943390;-123,12690000
-448,77171278;0,64943390;-124,91230000
-448,44403278;0,64943390;-127,18590000
-448,11635278;0,64943390;-128,91020000
-447,78867278;0,67140720;-130,77180000
-447,46099279;0,67140720;-133,12170000
-447,13331279;0,67140720;-133,88470000
-446,80563279;0,67140720;-135,39540000
-446,47795279;0,67140720;-137,39430000
-446,15027279;0,67140720;-140,01890000
-445,82259280;0,67140720;-141,45330000
-445,49491280;0,67140720;-144,35250000
-445,16723280;0,67140720;-146,90080000
-444,83955280;0,67140720;-148,97610000
-444,51187280;0,67140720;-150,62410000
-444,18419281;0,67140720;-152,97400000
-443,85651281;0,64943390;-154,97300000
-443,52883281;0,64943390;-157,03300000
-443,20115281;0,64943390;-159,24560000
-442,87347281;0,64943390;-164,20480000
-442,54579282;0,64943390;-166,41740000
-442,21811282;0,64943390;-168,41640000
-441,89043282;0,64943390;-170,12540000
-441,56275282;0,64943390;-171,84970000
-441,23507282;0,67140720;-173,92500000
-440,90739283;0,64943390;-175,71030000
-440,57971283;0,64943390;-177,37360000
-440,25203283;0,64943390;-178,25860000
-439,92435283;0,64943390;-179,78450000
-439,59667283;0,64943390;-181,43250000
-439,26899284;0,64943390;-183,98080000
-438,94131284;0,64943390;-185,43050000
-438,61363284;0,64943390;-187,42940000
-438,28595284;0,67140720;-189,84040000
-437,95827284;0,67140720;-191,42730000
-437,63059285;0,67140720;-194,25030000
