Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,11474138;0,67140720;-351,95470000
-500,78706138;0,67140720;-350,85600000
-500,45938138;0,67140720;-349,87940000
-500,13170138;0,67140720;-349,05540000
-499,80402138;0,67140720;-347,54480000
-499,47634139;0,67140720;-347,19380000
-499,14866139;0,67140720;-346,23250000
-498,82098139;0,67140720;-344,43190000
-498,49330139;0,64943390;-342,58550000
-498,16562139;0,64943390;-341,13590000
-497,83794140;0,64943390;-340,29660000
-497,51026140;0,64943390;-339,61000000
-497,18258140;0,64943390;-338,29760000
-496,85490140;0,64943390;-337,06160000
-496,52722140;0,64943390;-335,61200000
-496,19954141;0,64943390;-334,86430000
-495,87186141;0,67140720;-333,82670000
-495,54418141;0,67140720;-332,02610000
-495,21650141;0,67140720;-330,45440000
-494,88882141;0,67140720;-329,27940000
-494,56114142;0,67140720;-328,37910000
-494,23346142;0,67140720;-326,45650000
-493,90578142;0,67140720;-324,45750000
-493,57810142;0,67140720;-323,48090000
-493,25042142;0,67140720;-322,59590000
-492,92274142;0,67140720;-320,87160000
-492,59506143;0,67140720;-318,79630000
-492,26738143;0,64943390;-317,20940000
-491,93970143;0,64943390;-315,83600000
-491,61202143;0,64943390;-314,05070000
-491,28434143;0,64943390;-312,05180000
-490,95666144;0,64943390;-310,19010000
-490,62898144;0,62746050;-308,66420000
-490,30130144;0,60548720;-307,01620000
-489,97362144;0,60548720;-305,15450000
-489,64594144;0,62746050;-303,50660000
-489,31826145;0,62746050;-301,56860000
-488,99058145;0,62746050;-299,78330000
-488,66290145;0,62746050;-298,05900000
-488,33522145;0,62746050;-295,78540000
-488,00754145;0,64943390;-293,71010000
-487,67986146;0,67140720;-292,06210000
-487,35218146;0,67140720;-290,12420000
-487,02450146;0,64943390;-287,24020000
-486,69682146;0,64943390;-283,24230000
-486,36914146;0,64943390;-281,16700000
-486,04146147;0,64943390;-278,61870000
-485,71378147;0,64943390;-274,75810000
-485,38610147;0,64943390;-272,75920000
-485,05842147;0,64943390;-271,11120000
-484,73074147;0,62746050;-268,41030000
-484,40306148;0,62746050;-265,93830000
-484,07538148;0,62746050;-264,27500000
-483,74770148;0,62746050;-261,31470000
-483,42002148;0,60548720;-258,41550000
-483,09234148;0,60548720;-256,21810000
-482,76466149;0,60548720;-253,80720000
-482,43698149;0,60548720;-251,12150000
-482,10930149;0,62746050;-248,63430000
-481,78162149;0,64943390;-246,14700000
-481,45394149;0,64943390;-243,18670000
-481,12626150;0,64943390;-240,44010000
-480,79858150;0,67140720;-238,02910000
-480,47090150;0,67140720;-235,26720000
-480,14322150;0,67140720;-232,03220000
-479,81554150;0,67140720;-229,27030000
-479,48786151;0,67140720;-226,78300000
-479,16018151;0,67140720;-223,89900000
-478,83250151;0,67140720;-221,13710000
-478,50482151;0,67140720;-217,90210000
-478,17714151;0,67140720;-215,14020000
-477,84946152;0,67140720;-212,79030000
-477,52178152;0,67140720;-210,24200000
-477,19410152;0,67140720;-207,55640000
-476,86642152;0,67140720;-204,38240000
-476,53874152;0,67140720;-201,07120000
-476,21106153;0,67140720;-198,18720000
-475,88338153;0,67140720;-195,01330000
-475,55570153;0,67140720;-192,32760000
-475,22802153;0,67140720;-189,84040000
-474,90034153;0,67140720;-186,95640000
-474,57266154;0,67140720;-183,64510000
-474,24498154;0,67140720;-180,82220000
-473,91730154;0,67140720;-177,78560000
-473,58962154;0,67140720;-174,33700000
-473,26194154;0,67140720;-171,51400000
-472,93426155;0,67140720;-168,75210000
-472,60658155;0,67140720;-165,24240000
-472,27890155;0,67140720;-161,65650000
-471,95122155;0,67140720;-159,58130000
-471,62354155;0,67140720;-156,97190000
-471,29586156;0,64943390;-153,93530000
-470,96818156;0,64943390;-150,76140000
-470,64050156;0,64943390;-147,93850000
-470,31282156;0,64943390;-144,42880000
-469,98514156;0,64943390;-140,98030000
-469,65746157;0,64943390;-137,66900000
-469,32978157;0,62746050;-134,15940000
-469,00210157;0,62746050;-131,67210000
-468,67442157;0,64943390;-128,08620000
-468,34674157;0,64943390;-124,85120000
-468,01906158;0,64943390;-122,08930000
-467,69138158;0,62746050;-119,19000000
-467,36370158;0,62746050;-116,09240000
-467,03602158;0,62746050;-113,13210000
-466,70834158;0,64943390;-109,82090000
-466,38066159;0,64943390;-106,44860000
-466,05298159;0,64943390;-103,41200000
-465,72530159;0,64943390;-100,72630000
-465,39762159;0,64943390;-97,62871000
-465,06994159;0,67140720;-94,72945000
-464,74226160;0,67140720;-93,21878000
-464,41458160;0,67140720;-89,90752000
-464,08690160;0,67140720;-86,45893000
-463,75922160;0,67140720;-83,42234000
-463,43154160;0,67140720;-80,53835000
-463,10386161;0,67140720;-77,42545000
-462,77618161;0,67140720;-74,26678000
-462,44850161;0,64943390;-71,09286000
-462,12082161;0,67140720;-67,50694000
-461,79314161;0,67140720;-64,47034000
-461,46546162;0,67140720;-62,05938000
-461,13778162;0,64943390;-58,74813000
-460,81010162;0,64943390;-55,37583000
-460,48242162;0,64943390;-52,61391000
-460,15474162;0,64943390;-49,45524000
-459,82706163;0,67140720;-45,86932000
-459,49938163;0,64943390;-42,83273000
-459,17170163;0,64943390;-39,93347000
-458,84402163;0,64943390;-36,48487000
-458,51634163;0,67140720;-32,91421000
-458,18866164;0,67140720;-29,87762000
-457,86098164;0,64943390;-25,66606000
-457,53330164;0,64943390;-22,23273000
-457,20562164;0,64943390;-18,78414000
-456,87794164;0,62746050;-15,53392000
-456,55026165;0,60548720;-12,10059000
-456,22258165;0,60548720;-8,85036800
-455,89490165;0,60548720;-5,12710900
-455,56722165;0,60548720;-2,24311000
-455,23954165;0,60548720;0,70192570
-454,91186166;0,60548720;3,73851700
-454,58418166;0,60548720;7,40073800
-454,25650166;0,62746050;11,53600000
-453,92882166;0,64943390;14,83200000
-453,60114166;0,64943390;18,90622000
-453,27346167;0,64943390;22,35481000
-452,94578167;0,64943390;26,13910000
-452,61810167;0,67140720;29,51140000
-452,29042167;0,67140720;32,54799000
-451,96274167;0,64943390;35,72192000
-451,63506168;0,64943390;39,36887000
-451,30738168;0,64943390;42,61909000
-450,97970168;0,64943390;46,81539000
-450,65202168;0,64943390;50,18769000
-450,32434168;0,64943390;53,57524000
-449,99666169;0,64943390;56,87124000
-449,66898169;0,64943390;60,25879000
-449,34130169;0,67140720;62,66976000
-449,01362169;0,67140720;66,53034000
-448,68594169;0,67140720;69,76531000
-448,35826170;0,64943390;72,52723000
-448,03058170;0,62746050;76,17419000
-447,70290170;0,62746050;79,13449000
-447,37522170;0,62746050;81,95745000
-447,04754170;0,62746050;85,61967000
-446,71986171;0,62746050;89,06827000
-446,39218171;0,62746050;92,16589000
-446,06450171;0,62746050;95,33981000
-445,73682171;0,64943390;98,49848000
-445,40914171;0,67140720;101,47400000
-445,08146172;0,67140720;104,35800000
-444,75378172;0,64943390;107,74560000
-444,42610172;0,64943390;111,25520000
-444,09842172;0,64943390;113,87980000
-443,77074172;0,64943390;116,97740000
-443,44306173;0,64943390;120,76170000
-443,11538173;0,62746050;124,14930000
-442,78770173;0,60548720;127,17060000
-442,46002173;0,60548720;130,42080000
-442,13234173;0,62746050;133,79310000
-441,80466174;0,62746050;136,89080000
-441,47698174;0,62746050;139,85110000
-441,14930174;0,60548720;142,75030000
-440,82162174;0,58412430;146,06160000
-440,49394174;0,60548720;149,78480000
-440,16626175;0,60548720;152,95880000
-439,83858175;0,60548720;155,70540000
-439,51090175;0,60548720;158,66570000
-439,18322175;0,60548720;161,50400000
-438,85554175;0,60548720;164,32690000
-438,52786176;0,62746050;167,91280000
-438,20018176;0,64943390;171,08670000
